Dataset Name,Size,Task Type,Citations,Diversity,Year,Source
CIFAR-100,60K images,Image Classification,10K+,Medium,2009,OpenML
Cityscapes,25K images,Image Segmentation,9K+,Medium,2017,PapersWithCode
MIMIC-III,40K ICU records,Medical AI,8K+,Medium,2018,OpenML
LibriSpeech,1000 hours,Speech Recognition,8K+,Medium,2018,Hugging Face
CheXpert,224K chest X-rays,Medical AI,3K+,Medium,2023,OpenML
Open Images,9M images,Object Classification,40K+,High,2016,Kaggle
Uber Movement,50M records,Traffic Prediction,2K+,Medium,2020,OpenML
Common Crawl,10B+ text samples,NLP (Web Crawl),5K+,High,2013,Hugging Face
GLUE,1M text samples,NLP Benchmarking,10K+,High,2021,PapersWithCode
ADE20K,20K images,Image Segmentation,5K+,High,2021,PapersWithCode
Common Crawl,10B+ text samples,NLP (Web Crawl),5K+,High,2011,Hugging Face
CheXpert,224K chest X-rays,Medical AI,3K+,Medium,2020,OpenML
CIFAR-100,60K images,Image Classification,10K+,Medium,2011,OpenML
Cityscapes,25K images,Image Segmentation,9K+,Medium,2019,PapersWithCode
MIMIC-III,40K ICU records,Medical AI,8K+,Medium,2020,OpenML
Cityscapes,25K images,Image Segmentation,9K+,Medium,2016,PapersWithCode
ADE20K,20K images,Image Segmentation,5K+,High,2018,PapersWithCode
Cityscapes,25K images,Image Segmentation,9K+,Medium,2018,PapersWithCode
Cityscapes,25K images,Image Segmentation,9K+,Medium,2019,PapersWithCode
Open Images,9M images,Object Classification,40K+,High,2020,Kaggle
Open Images,9M images,Object Classification,40K+,High,2016,Kaggle
CIFAR-10,60K images,Image Classification,30K+,Medium,2010,OpenML
Common Crawl,10B+ text samples,NLP (Web Crawl),5K+,High,2013,Hugging Face
ImageNet,14M images,Image Classification,50K+,High,2015,PapersWithCode
DeepFashion,800K images,Fashion Recognition,6K+,Medium,2020,PapersWithCode
Cityscapes,25K images,Image Segmentation,9K+,Medium,2016,PapersWithCode
CamVid ++,10K images,Autonomous Driving,2K+,Medium,2009,Kaggle
LibriSpeech revised,1000 hours,Speech Recognition,8K+,Medium,2017,Hugging Face
Uber Movement ++,50M records,Traffic Prediction,2K+,Medium,2022,OpenML
SQuAD revised,100K Q&A pairs,Question Answering,15K+,High,2020,PapersWithCode
MNIST v2,70K images,Handwritten Classification,50K+,Low,1998,OpenML
CIFAR-100 extended,60K images,Image Classification,10K+,Medium,2010,OpenML
HumanEval ++,164 tasks,Code Generation,2K+,High,2023,Hugging Face
MNIST extended,70K images,Handwritten Classification,50K+,Low,2001,OpenML
CIFAR-100 revised,60K images,Image Classification,10K+,Medium,2013,OpenML
GLUE v2,1M text samples,NLP Benchmarking,10K+,High,2018,PapersWithCode
VoxCeleb2 2025,1M speech samples,Speaker Recognition,6K+,High,2019,Hugging Face
CIFAR-10 v2,60K images,Image Classification,30K+,Medium,2011,OpenML
ImageNet 2025,14M images,Image Classification,50K+,High,2015,PapersWithCode
HumanEval lite,164 tasks,Code Generation,2K+,High,2025,Hugging Face
MNIST mod,70K images,Handwritten Classification,50K+,Low,1998,OpenML
PAWS mod,100K text pairs,Paraphrase Detection,2.5K+,High,2020,Hugging Face
MNIST extended,70K images,Handwritten Classification,50K+,Low,2000,OpenML
WikiText-103 extended,103M words,Language Modeling,3K+,High,2020,Hugging Face
CIFAR-10 ++,60K images,Image Classification,30K+,Medium,2013,OpenML
PAWS revised,100K text pairs,Paraphrase Detection,2.5K+,High,2019,Hugging Face
CheXpert lite,224K chest X-rays,Medical AI,3K+,Medium,2020,OpenML
